CRPFilerid,is_scam
C00660894,0
C00741710,0
C00276659,0
C00007070,0
C00668897,0
C00571018,0
C00122499,0
C00363853,0
C00178038,1
C00460253,0
C00496836,0
C00680322,0
C00610154,0
C00572271,0
C00228924,0
C00370130,0
C00581728,0
C00409623,0
C00407262,0
C00534032,0
C00756569,1
C00710772,0
C00383174,0
C00662056,0
C00172841,0
C00411199,0
C00488486,0
C00506535,0
C00540898,0
C00639112,0
C00474122,0
C00257329,0
C00422881,0
C00686709,0
C00506410,0
C00577445,0
C00680561,0
C00639047,0
C00020818,0
C00348797,0
C00742494,0
C00742205,0
C00107615,0
C00571216,0
C00295527,0
C00550566,0
C00636829,0
C00424879,0
C00368696,1
C00749366,0
C00411389,0
C00723783,0
C00152272,0
C00761031,0
C00426445,0
C00403592,0
C00492983,0
C00681171,0
C00755199,0
C00739524,0
C00420398,0
C00739235,0
C00361253,0
C00215053,0
C00039461,0
C00391086,0
C00682195,0
C00749556,0
C00526046,0
C00430579,0
C00715136,0
C00495010,0
C00621185,0
C00619304,0
C00720938,0
C00577676,0
C00417584,0
C00415224,0
C00018945,0
C00659870,0
C00252551,0
C00753046,0
C00174011,0
C00495481,0
C00390674,0
C00523233,0
C00546663,0
C00150995,0
C00128561,0
C00740878,0
C00337733,0
C00573626,0
C00759738,0
C00705400,0
C00697862,0
C00368993,0
C00305805,0
C00511600,0
C00633958,0
C00529891,0
C00663195,0
C00742759,0
C00723304,0
C00752469,0
C00136853,0
C00342972,0
C00016683,0
C00632935,0
C00422519,0
C00706499,0
C00366070,0
C00526715,0
C00059238,0
C00758698,0
C00216895,0
C00396994,0
C00486498,0
C00480061,0
C00409516,0
C00731752,0
C00755611,0
C00495887,1
C00752881,0
C00625194,0
C00659789,0
C00265033,0
C00433482,0
C00437079,0
C00690271,0
C00741314,0
C00745471,0
C00208983,0
C00697755,0
C00011197,1
C00391508,0
C00318907,0
C00571000,0
C00455923,0
C00751347,0
C00207308,0
C00676064,0
C00511915,0
C00380196,0
C00688226,0
C00336057,0
C00249532,0
C00340554,0
C00564385,0
C00755074,0
C00491183,0
C00695585,1
C00492116,0
C00731489,0
C00405043,0
C00577049,0
C00564658,0
C00708537,0
C00656348,0
C00302166,0
C00742932,0
C00266585,0
C00008086,1
C00141382,0
C00571976,0
C00608505,0
C00208322,0
C00345355,0
C00759407,0
C00746297,0
C00757112,0
C00634915,0
C00744763,0
C00756445,0
C00559302,0
C00720383,0
C00668178,0
C00578419,0
C00150367,0
C00635052,0
C00380303,0
C00626721,0
C00621912,0
C00350421,0
C00003418,1
C00147173,0
C00747592,0
C00574228,0
C00365296,0
C00699702,0
C00634766,0
C00717223,0
C00492140,1
C00066472,0
C00450072,0
C00688861,0
C00760728,0
C00402669,0
C00740092,0
C00032979,1
C00759381,0
C00692681,0
C00469239,0
C00540203,0
C00631507,0
C00453712,0
C00722165,0
C00651265,0
C00723551,0
C00579920,0
C00378695,0
C00371336,0
C00073155,0
C00117861,0
C00564997,0
C00691147,0
C00019083,0
C00409110,0
C00747691,0
C00504753,0
C00549568,0
C00745745,0
C00571570,0
C00136838,0
C00688580,0
C00435735,0
C00717421,0
C00572099,0
C00427435,0
C00479378,0
C00028860,0
C00375691,0
C00254656,0
C00131557,0
C00383463,0
C00414425,0
C00365502,0
C00588335,0
C00526194,0
C00364422,0
C00404145,0
C00717918,0
C00612218,0
C00672915,0
C00492587,0
C00144170,0
C00326439,0
C00552679,0
C00525717,0
C00684175,0
C00656439,0
C00389585,0
C00695528,0
C00751453,0
C00573790,0
C00726729,0
C00238782,0
C00654772,0
C00640888,0
C00102368,0
C00697375,0
C00640664,1
C00611012,0
C00410720,0
C00693127,0
C00383976,0
C00458257,0
C00571687,0
C00638338,0
C00685594,0
C00496745,0
C00681478,0
C00714501,0
C00106146,1
C00624882,0
C00163048,0
C00734574,0
C00664326,0
C00686188,0
C00041939,0
C00743906,0
C00694323,1
C00347195,0
C00524181,0
C00358051,0
C00629477,0
C00610782,0
C00753863,0
C00408260,0
C00108035,0
C00686881,0
C00742429,0
C00733352,0
C00190652,0
C00763870,0
C00388777,0
C00576249,0
C00760835,0
C00630087,0
C00747931,0
C00331462,0
C00756833,0
C00711119,0
C00745711,0
C00678722,0
C00433680,0
C00462333,0
C00737817,0
C00679951,0
C00142489,0
C00752493,0
C00640441,0
C00255752,0
C00440651,0
C00517276,0
C00373837,0
C00569871,0
C00680777,0
C00364992,0
C00524611,0
C00349225,0
C00687418,0
C00634519,0
C00298018,0
C00511196,0
C00745554,0
C00578054,0
C00171330,0
C00160986,0
C00245910,0
C00199547,0
C00743526,0
C00540112,0
C00148882,0
C00708883,0
C00115832,0
C00161570,0
C00531814,0
C00524843,0
C00196246,0
C00749622,0
C00218263,0
C00752006,0
C00745158,0
C00678680,0
C00383422,0
C00647420,0
C00683235,0
C00421016,0
C00454041,0
C00447565,0
C00564765,0
C00747394,0
C00460378,0
C00763730,0
C00678284,0
C00587923,0
C00707232,0
C00358994,0
C00190934,1
C00687012,0
C00461418,0
C00412072,0
C00410316,0
C00753517,0
C00079681,0
C00692095,0
C00563015,0
C00743195,0
C00493361,0
C00427617,0
C00689141,0
C00082925,1
C00423731,0
C00480830,0
C00143230,1
C00507053,0
C00443671,0
C00680512,0
C00033555,0
C00573246,0
C00286401,0
C00375584,0
C00751388,0
C00735167,0
C00425470,0
C00669655,0
C00757963,0
C00685099,0
C00489591,0
C00714873,0
C00121319,0
C00445981,0
C00617944,0
C00759654,0
C00549865,0
C00368415,0
C00743666,0
C00681999,0
C00660233,0
C00323048,0
C00559294,0
C00718916,0
C00680819,0
C00405878,0
C00215046,0
C00379180,0
C00695569,0
C00692467,0
C00745174,0
C00759258,0
C00588509,0
C00014555,0
C00756163,0
C00171843,0
C00029447,1
C00758839,0
C00214304,0
C00524330,0
C00616912,0
C00727719,0
C00745315,0
C00367375,0
C00695999,0
C00207795,0
C00755793,0
C00683458,0
C00677955,0
C00579359,0
C00415752,0
C00417774,0
C00701656,1
C00493262,0
C00718981,0
C00658302,0
C00635938,0
C00311878,0
C00245530,0
C00199497,0
C00498931,0
C00723676,0
C00685552,0
C00611202,0
C00325993,0
C00712695,0
C00239848,0
C00715144,0
C00507699,0
C00452961,0
C00288712,0
C00027359,0
C00039206,0
C00196824,0
C00667782,0
C00121368,0
C00680025,0
C00744946,1
C00699306,0
C00592303,0
C00750323,1
C00361139,0
C00275529,0
C00395723,0
C00382028,0
C00277988,0
C00614198,0
C00503847,0
C00417139,0
C00282343,0
C00688606,0
C00548735,0
C00424143,0
C00675397,0
C00490235,0
C00631556,0
C00756403,0
C00624049,0
C00408872,0
C00299701,0
C00573709,0
C00559211,0
C00710178,0
C00475350,0
C00743468,0
C00698944,0
C00571596,0
C00709956,0
